id,prob
E370,0.034489920110714764
E667,0.9723276834171064
E3190,0.947264948181329
E848,0.9469592672077521
E2161,0.6833679032279455
E1391,0.6172074684152704
E1084,0.9848854578802257
E1801,0.9499281231380117
E2730,0.9715724762223109
E828,0.06999551083654627
E1795,0.14842214369633885
E1880,0.4578583934372336
E1948,0.294544728524283
E1545,0.4014597356725976
E2904,0.07846743909054887
E2835,0.2028511556617628
E2349,0.1605091302028599
E2046,0.7700020084465043
E1229,0.1483944673608476
E2845,0.5545966197331827
E2125,0.9921414873201878
E3127,0.9848854578802257
E1721,0.995420434165929
E1253,0.05944642525875263
E3050,0.022798421341784798
E212,0.6672046948123982
E3193,1
E1195,0.9267515324583706
E699,0.9848854578802257
E2930,0.9968872530314478
E963,0.751074645229002
E2848,0.9903019496964247
E2261,0.7828558209918225
E2091,0.9548847122185985
E3113,0.9556980111722121
E2717,0.7643547806924952
E1775,0.08259862452417374
E1922,0.03208338909681414
E2239,0.9803286210580393
E1074,0.2409380382970045
E552,1
E1657,0.8259159132385463
E943,0.35598882719719016
E1139,0.07052069311377646
E2663,0.07880234226074362
E2992,0.11117338225685951
E3111,0.9105110859742824
E1885,0.12021890813049294
E2428,0.9556980111722121
E1627,0.093986837542601
E2575,0.04702629049418246
E824,0.061547334819602936
E660,0.14343775640458373
E1706,0.0760619917961399
E863,0.987855391855031
E1289,0.2211696688975054
E389,0.9624899157757231
E802,0.7062843072078441
E520,0.9499281458186003
E1829,0.9556980313611564
E2307,0.9981233546933772
E566,0.12485327883720614
E451,0.09235720867369086
E353,0.010045350506804076
E201,0.5611896159471211
E1736,0.969343434696241
E2320,0.22432544688593417
E207,0.9930661638671305
E1971,0.47638488799963297
E312,0.02658776442743758
E1968,0.0265820264902739
E1170,0.335933001346394
E625,0.03361997706313836
E3170,0.5723833668528487
E3087,0.8210128696163257
E2913,0.04643862734842245
E2006,0.9499281231380117
E133,0.5468792238346751
E646,0.40375803188063475
E17,0.9556980111722121
E1474,0.9818682122825583
E1846,0.22461944728862435
E1689,0.5809221612561843
E1990,0.9547717400212071
E374,0.4578584082325321
E1027,0.5194955951240118
E1428,0.9927837653389553
E488,0.04388635245352506
E1056,0.7819597831459778
E1303,0.8910616662227397
E1740,0.9946681073004262
E2264,0.9790860888542702
E1758,0.19260810454191202
E8,0.08751810682844079
E2298,0.026751945771747894
E1731,0.8498928739499106
E1475,0.9499281231380117
E2510,0.22519427022687105
E1857,0.18201361982348574
E834,0.3146755030772667
E1380,0.9556980313611564
E1588,0.9184982572664742
E2759,0.10806272849671003
E214,0.9848854578802257
E2591,0.4003391400054303
E2771,0.9341069842794448
E493,0.17412059746971126
E1977,0.9911961105856993
E2355,0.8988694656159943
E2498,0.9984528255430127
E2107,0.5312327191089167
E2043,0.020395520967387292
E2560,0.8487861374643881
E1176,1
E1456,0.8190867056983668
E228,0.21071083703448892
E622,0.9723842461388792
E393,0.13408254469492784
E731,0.9899715638789524
E1336,0.9848854578802257
E2187,0.08092753869821324
E177,0.6533000885777064
E1541,0.034017638573203585
E562,0.9556980111722121
E1720,0.3265622140519534
E2060,0.659191095063215
E225,0.06045770560068065
E2114,0.9904450531674732
E1310,0.07700113801503762
E2785,0.4526157737255023
E3152,0.7802692050703112
E1983,0.15437795944513177
E445,0.18025740824164094
E850,0.17032931951877361
E2740,0.148381120363172
E1159,0.9940633695275981
E1505,0.8107339537495841
E50,0.8745020535740131
E1078,0.13380406512344203
E2549,0.980328630253557
E1187,0.4807065398736969
E1844,0.5281575522106183
E558,0.765382507111339
E2741,0.9951914306059904
E1334,0.08821743734310347
E3206,0.38460093448362054
E1262,0.9556980313611564
E3178,0.29058933555522
E2728,0.9803286210580393
E2870,0.980328630253557
E2970,0.9865291326215029
E3022,0.9882652012402954
E2503,0.17086016274612134
E1228,0.07577817623559441
E3169,0.14779839185004018
E2799,0.9848854578802257
E1114,0.5701936277830477
E273,0.6888762651421408
E688,0.1464915121671737
E707,0.4316606266590096
E3039,0.7459881040370189
E292,1
E975,0.6912823835583777
